Hindi,Transliteration
श्वाघ्निक,shvāghnik
प्लॉट,plŏṭ
प्लॉटों,plŏṭôn
परिहारण,parihāraṇ
अपरिहारण,aparihāraṇ
लघुक्रम,lgahukram
थैलियों,thailiyôn
मनमैला,manamailā
कुलश्रेष्ठ,kulsahrêshhṭh
कुलश्रेष्ठों,kulsahrêshhṭhôn
उप-किराएदारी,upakirāadārī
लसिका,laśikā
अस्वरण,aśvaraṇ
उपरौना,uparaunā
चश्म-ए-बद्दूर,csahmabaddūr
कपिलस्मृति,kapilaśmriti
अन्यबीजज,anyabījaj
द्विरागमन,dvirāgaman
द्विरागमनों,dvirāgamanôn
एनपीटी,anapīṭī
पुनरादान,punarādān
वर्तमानत,vartamānat
वर्तमानता,vartamānatā
अस्वरन,aśvaran
चमडा,camaḍā
चमडे,camaḍê
सूक्ष्मत,śūkshhmat
सूक्ष्मता,śūkshhmatā
स्वत्वविलेख,śvatvavilêkh
पराकाष्ठा,parākāshhṭhā
पराकाष्ठे,parākāshhṭhê
पराकाष्ठों,parākāshhṭhôn
वर्तमानन,vartamānan
प्रपूर्ण,prapūrṇ
प्रपूर्णों,prapūrṇôn
बेबाकी,bêbākī
बेबाकियाँ,bêbākiyān̐
बेबाकिओं,bêbākion
प्रपूर्त,prapūrt
दंडविधान,dnḍavidhān
भाषिका,bhāshhikā
भाषिकाएँ,bhāshhikāan̐
भाषिकाओं,bhāshhikāon
भाषिकी,bhāshhikī
गोपीजनवल्लभ,gôpījanavallbah
जीव-रसायन,jīvaraśāyan
पेट्रो-रसायन,pêṭrôraśāyan
परिक्रामित,parikrāmit
ज़िपलौक,ipalauk
हल्के-फुल्के,halkêfulkê
सायरन,śāyaran
भुसुंड,bhuśunḍ
अग्निजात,agnijāt
मेटाबोलाइज़,mêṭābôlāe
अबूजा,abūjā
वृन्दवादन,vrindavādan
मेटाबोलाइड़,mêṭābôlāe
संप्रवृत्ति,śnpravritti
प्रामीत्य,prāmīty
भगिनीगामी,bhaginīgāmī
नरभुक,narbahuk
क्षुधासूति,kshhudhāśūti
खेमकरी,khêmakarī
मंदारमाला,mndāramālā
बदलाहट,badalāhaṭ
उत्तरपुस्तिका,uttarapuśtikā
कमलाई,kamalāi
स्वाधीनतोपरांत,śvādhīnatôparānt
डिंबाहव,ḍinbāhav
जीवाणुवैज्ञानिक,jīvāṇuvaijñaānik
जीवाणुवैज्ञानिकों,jīvāṇuvaijñaānikôn
कुशलपूर्वक,kushalapūrvak
बिनचाहा,binacāhā
सुविज्ञेय,śuvijñaêy
संवर्मी,śnvarmī
दुभिक्ष,dubhikshh
प्रसन्नात्मा,praśannātmā
डर्विल,ḍarvil
मृदंगफल,mridngafal
अयन-काल,ayaanakāl
अयन-कालों,ayaanakālôn
पीतगल,pītagal
पुरातत्त्व,purātattv
तूँबा,tūn̐bā
तूँबे,tūn̐bê
तूँबों,tūn̐bôn
